item_id,sale_id,product_id,quantity,original_price,unit_price,discount_applied,discount_percent,discounted,item_total,sale_date_x,channel,channel_campaigns,sale_date_y,customer_id,country,age_range,signup_date,product_name,category,brand
2270,658,403,1,81.8,81.8,0.0,0.0,0,81.8,2025-06-16,App Mobile,App Mobile,2025-06-16,835,Portugal,46-55,2025-04-26,Elegant Satin Dress,Dresses,MATRIX
1170,336,284,1,81.79,81.79,0.0,0.0,0,81.79,2025-06-17,E-commerce,Website Banner,2025-06-17,790,France,16-25,2025-04-26,Essential Cotton Shoes,Shoes,MATRIX
2496,1255,71,1,80.76,80.76,0.0,0.0,0,80.76,2025-04-16,App Mobile,App Mobile,2025-04-16,464,Germany,36-45,2025-04-14,Modern Ribbed Trousers,Pants,MATRIX
1273,331,98,1,78.52,78.52,0.0,0.0,0,78.52,2025-05-06,App Mobile,App Mobile,2025-06-05,100,Italy,26-35,2025-01-30,Modern Boxy Shoes,Shoes,MATRIX
1829,1079,98,1,78.52,78.52,0.0,0.0,0,78.52,2025-06-15,App Mobile,App Mobile,2025-06-15,837,Germany,46-55,2025-03-02,Modern Boxy Shoes,Shoes,MATRIX
3221,478,98,1,78.52,78.52,0.0,0.0,0,78.52,2025-04-14,App Mobile,App Mobile,2025-04-14,957,France,16-25,2025-01-18,Modern Boxy Shoes,Shoes,MATRIX
2442,1082,257,1,77.9,77.9,0.0,0.0,0,77.9,2025-04-06,App Mobile,App Mobile,2025-06-04,774,Portugal,46-55,2025-05-21,Relaxed Crew Shoes,Shoes,MATRIX
730,747,413,1,76.15,76.15,0.0,0.0,0,76.15,2025-04-21,App Mobile,App Mobile,2025-04-21,442,Germany,16-25,2025-04-22,Elegant Satin Shoes,Shoes,MATRIX
2917,258,392,1,75.47,75.47,0.0,0.0,0,75.47,2025-05-29,E-commerce,Website Banner,2025-05-29,94,France,16-25,2025-04-04,Elegant Wrap Shoes,Shoes,MATRIX
3142,1144,392,1,75.47,75.47,0.0,0.0,0,75.47,2025-05-20,E-commerce,Website Banner,2025-05-20,700,Portugal,16-25,2025-03-08,Elegant Wrap Shoes,Shoes,MATRIX
209,644,224,1,75.4,75.4,0.0,0.0,0,75.4,2025-04-04,E-commerce,Website Banner,2025-04-04,374,Italy,16-25,2025-03-03,Relaxed Linen Dress,Dresses,MATRIX
