country,product_id,product_name,category,units_sold,avg_stock
Italy,401,Elegant Cotton Dress,Dresses,16,0.0
Spain,63,Soft Crew Set,Sleepwear,16,0.0
Italy,129,Classic Linen Trousers,Pants,15,0.0
Italy,88,Modern Satin Set,Sleepwear,14,0.0
Italy,38,Soft Crew Tee,T-Shirts,13,0.0
Netherlands,469,Dresses Drop 1,Dresses,13,0.0
Netherlands,329,Relaxed Boxy Set,Sleepwear,12,0.0
Italy,469,Dresses Drop 1,Dresses,12,0.0
Netherlands,228,Vintage Boxy Trousers,Pants,12,0.0
Italy,53,Soft Boxy Shoes,Shoes,12,0.0
Spain,431,Elegant Boxy Shoes,Shoes,12,0.0
Italy,440,Bold Linen Shoes,Shoes,11,0.0
Portugal,484,Tailored Silk Trousers,Pants,11,0.0
Italy,297,Essential High-Waist Shoes,Shoes,11,0.0
Italy,240,Polished Linen Trousers,Pants,11,0.0
Italy,44,Modern Wrap Trousers,Pants,11,0.0
Italy,119,Vintage Linen Dress,Dresses,10,0.0
Spain,418,Elegant Crew Shoes,Shoes,10,0.0
Netherlands,428,Elegant High-Waist Shoes,Shoes,10,0.0
Netherlands,339,Tailored Cotton Tee,T-Shirts,10,0.0
Netherlands,433,Essential Boxy Trousers,Pants,10,0.0
Spain,181,Vintage High-Waist Shoes,Shoes,10,0.0
Italy,264,Relaxed Satin Tee,T-Shirts,10,0.0
Italy,330,Essential Wrap Set,Sleepwear,10,0.0
Italy,5,Soft Wrap Trousers,Pants,10,0.0
Netherlands,110,Classic High-Waist Dress,Dresses,10,0.0
Netherlands,204,Polished Boxy Dress,Dresses,10,0.0
Spain,387,Tailored High-Waist Set,Sleepwear,10,0.0
Italy,111,Modern Sleeveless Trousers,Pants,10,0.0
Spain,134,Classic Ribbed Trousers,Pants,10,0.0
Netherlands,485,Bold Sleeveless Shoes,Shoes,10,0.0
Italy,375,Tailored Sleeveless Shoes,Shoes,10,0.0
Spain,388,Tailored Boxy Dress,Dresses,10,0.0
Italy,251,Relaxed Wrap Tee,T-Shirts,10,0.0
Portugal,482,Dresses Drop 6,Dresses,9,0.0
Italy,260,Relaxed Silk Dress,Dresses,9,0.0
Spain,190,Polished Cotton Dress,Dresses,9,0.0
Netherlands,327,Essential Boxy Dress,Dresses,9,0.0
Italy,277,Relaxed Boxy Tee,T-Shirts,9,0.0
Spain,246,Relaxed Satin Dress,Dresses,9,0.0
Italy,43,Modern Satin Dress,Dresses,9,0.0
Portugal,496,Tailored High-Waist Trousers,Pants,9,0.0
Spain,2,Soft Wrap Tee,T-Shirts,9,0.0
Italy,322,Essential Sleeveless Dress,Dresses,9,0.0
Italy,325,Tailored Linen Shoes,Shoes,9,0.0
Italy,445,Bold Cotton Set,Sleepwear,9,0.0
Spain,490,Bold Boxy Shoes,Shoes,9,0.0
Spain,256,Polished Crew Set,Sleepwear,9,0.0
Spain,144,Classic Silk Trousers,Pants,9,0.0
Portugal,212,Polished Linen Tee,T-Shirts,9,0.0
Netherlands,334,Tailored Ribbed Dress,Dresses,9,0.0
Italy,288,Essential Ribbed Tee,T-Shirts,9,0.0
Italy,172,Vintage Crew Shoes,Shoes,9,0.0
Netherlands,9,Soft Linen Shoes,Shoes,9,0.0
Italy,128,Classic Crew Tee,T-Shirts,9,0.0
Portugal,320,Essential Crew Dress,Dresses,9,0.0
Portugal,84,Modern Cotton Shoes,Shoes,9,0.0
Spain,422,Elegant High-Waist Set,Sleepwear,9,0.0
Netherlands,484,Tailored Silk Trousers,Pants,9,0.0
Netherlands,421,Elegant Sleeveless Set,Sleepwear,9,0.0
Italy,125,Classic Satin Shoes,Shoes,9,0.0
Netherlands,492,Tailored Crew Trousers,Pants,9,0.0
Spain,459,Bold High-Waist Dress,Dresses,9,0.0
Netherlands,385,Essential Satin Trousers,Pants,9,0.0
Italy,10,Soft Ribbed Trousers,Pants,9,0.0
Netherlands,370,Elegant Ribbed Tee,T-Shirts,9,0.0
Italy,217,Polished Cotton Tee,T-Shirts,9,0.0
Netherlands,82,Classic Cotton Dress,Dresses,9,0.0
Netherlands,180,Vintage Sleeveless Shoes,Shoes,8,0.0
Spain,147,Vintage Linen Shoes,Shoes,8,0.0
Portugal,60,Modern Cotton Tee,T-Shirts,8,0.0
Spain,132,Classic Crew Shoes,Shoes,8,0.0
Spain,280,Essential Linen Tee,T-Shirts,8,0.0
Spain,294,Essential Sleeveless Shoes,Shoes,8,0.0
Italy,347,Tailored Sleeveless Tee,T-Shirts,8,0.0
Netherlands,90,Modern Silk Shoes,Shoes,8,0.0
Spain,160,Classic High-Waist Set,Sleepwear,8,0.0
Portugal,106,Classic Satin Tee,T-Shirts,8,0.0
Netherlands,114,Classic Ribbed Shoes,Shoes,8,0.0
Portugal,107,Classic Linen Shoes,Shoes,8,0.0
Spain,27,Soft Boxy Dress,Dresses,8,0.0
Italy,146,Vintage Wrap Shoes,Shoes,8,0.0
Netherlands,422,Elegant High-Waist Set,Sleepwear,8,0.0
Portugal,74,Modern Wrap Set,Sleepwear,8,0.0
Netherlands,390,Tailored Boxy Shoes,Shoes,8,0.0
Italy,201,Vintage Sleeveless Tee,T-Shirts,8,0.0
Italy,209,Polished Ribbed Shoes,Shoes,8,0.0
Italy,454,Bold Crew Set,Sleepwear,8,0.0
Netherlands,19,Soft Silk Dress,Dresses,7,0.0
Spain,177,Vintage Cotton Set,Sleepwear,7,0.0
Netherlands,109,Classic Sleeveless Dress,Dresses,7,0.0
Portugal,280,Essential Linen Tee,T-Shirts,7,0.0
Netherlands,120,Modern Boxy Set,Sleepwear,7,0.0
Netherlands,351,Relaxed Sleeveless Trousers,Pants,7,0.0
Portugal,38,Soft Crew Tee,T-Shirts,7,0.0
Portugal,361,Tailored Linen Set,Sleepwear,7,0.0
Netherlands,441,Bold Linen Dress,Dresses,7,0.0
Portugal,375,Tailored Sleeveless Shoes,Shoes,7,0.0
Netherlands,374,Tailored Cotton Set,Sleepwear,7,0.0
Portugal,427,Bold Wrap Set,Sleepwear,7,0.0
Portugal,448,Bold Silk Dress,Dresses,7,0.0
Netherlands,122,Modern Boxy Trousers,Pants,7,0.0
